"Eyes","Hair"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Red"
"Blue","Brown"
"Dark brown","Black"
"Green","Blond"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Red"
"Green","Brown"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Green","Blond"
"Green","Blond"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Green","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Green","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Green","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Blond"
"Dark brown","Brown"
"Blue","Black"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Blond"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Black"
"Green","Blond"
"Dark brown","Black"
"Green","Brown"
"Dark brown","Black"
"Blue","Brown"
"Green","Brown"
"Blue","Brown"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Brown"
"Dark brown","Blond"
"Dark brown","Black"
"Blue","Black"
"Blue","Blond"
"Green","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Green","Brown"
"Blue","Brown"
"Green","Brown"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Green","Blond"
"Blue","Brown"
"Green","Blond"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Black"
"Blue","Brown"
"Green","Black"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Black"
"Blue","Red"
"Green","Blond"
"Dark brown","Black"
"Blue","Blond"
"Green","Brown"
"Blue","Blond"
"Green","Blond"
"Dark brown","Brown"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Green","Brown"
"Green","Blond"
"Green","Blond"
"Green","Brown"
"Green","Brown"
"Green","Brown"
"Dark brown","Black"
"Blue","Blond"
"Blue","Blond"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Blond"
"Dark brown","Black"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Black"
"Blue","Brown"
"Blue","Brown"
"Blue","Brown"
"Green","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Brown"
"Blue","Black"
"Blue","Black"
"Dark brown","Black"
"Green","Brown"
"Green","Red"
"Green","Blond"
"Blue","Brown"
"Blue","Blond"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Green","Brown"
"Blue","Blond"
"Dark brown","Brown"
"Blue","Blond"
"Dark brown","Brown"
"Green","Brown"
"Blue","Blond"
"Green","Brown"
"Dark brown","Brown"
"Green","Blond"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Black"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Green","Black"
"Dark brown","Black"
"Blue","Blond"
"Blue","Blond"
"Dark brown","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Black"
"Dark brown","Blond"
"Dark brown","Brown"
"Blue","Blond"
"Blue","Black"
"Green","Blond"
"Green","Black"
"Blue","Brown"
"Blue","Brown"
"Blue","Black"
"Blue","Brown"
"Green","Blond"
"Blue","Black"
"Green","Brown"
"Blue","Brown"
"Blue","Black"
"Dark brown","Brown"
"Blue","Blond"
"Green","Blond"
"Dark brown","Black"
"Green","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Green","Brown"
"Blue","Brown"
"Blue","Black"
"Blue","Brown"
"Blue","Blond"
"Blue","Blond"
"Green","Blond"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Blue","Blond"
"Blue","Blond"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Red"
"Blue","Black"
"Green","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Black"
"Green","Brown"
"Blue","Black"
"Blue","Brown"
"Green","Blond"
"Dark brown","Black"
"Dark brown","Brown"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Blond"
"Green","Blond"
"Dark brown","Red"
"Dark brown","Blond"
"Dark brown","Brown"
"Blue","Brown"
"Blue","Brown"
"Blue","Blond"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Green","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Blond"
"Green","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Green","Brown"
"Blue","Blond"
"Dark brown","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Brown"
"Blue","Black"
"Blue","Black"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Blond"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Blond"
"Green","Blond"
"Blue","Blond"
"Dark brown","Brown"
"Green","Black"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Black"
"Green","Blond"
"Dark brown","Brown"
"Blue","Brown"
"Green","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Black"
"Blue","Brown"
"Dark brown","Black"
"Green","Blond"
"Blue","Brown"
"Dark brown","Black"
"Blue","Black"
"Green","Blond"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Green","Brown"
"Dark brown","Brown"
"Dark brown","Brown"
"Dark brown","Brown"
"Green","Black"
"Dark brown","Brown"
"Blue","Blond"
"Green","Brown"
"Dark brown","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Brown"
"Green","Blond"
"Blue","Blond"
"Blue","Brown"
"Blue","Brown"
"Green","Brown"
"Blue","Brown"
"Blue","Blond"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Blond"
"Green","Brown"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Green","Black"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Green","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Brown"
"Blue","Brown"
"Blue","Black"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Blond"
"Dark brown","Brown"
"Blue","Brown"
"Green","Blond"
"Dark brown","Black"
"Blue","Black"
"Green","Brown"
"Dark brown","Black"
"Green","Blond"
"Blue","Blond"
"Blue","Blond"
"Blue","Black"
"Green","Red"
"Dark brown","Brown"
"Blue","Black"
"Blue","Brown"
"Dark brown","Brown"
"Green","Blond"
"Dark brown","Blond"
"Blue","Brown"
"Blue","Brown"
"Blue","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Blond"
"Blue","Black"
"Dark brown","Black"
"Green","Brown"
"Blue","Blond"
"Green","Brown"
"Blue","Black"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Blond"
"Green","Brown"
"Dark brown","Black"
"Blue","Black"
"Green","Blond"
"Blue","Brown"
"Dark brown","Blond"
"Dark brown","Brown"
"Green","Blond"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Black"
"Blue","Brown"
"Green","Brown"
"Blue","Blond"
"Green","Brown"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Green","Blond"
"Blue","Brown"
"Blue","Black"
"Green","Black"
"Dark brown","Brown"
"Blue","Blond"
"Blue","Blond"
"Blue","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Brown"
"Blue","Brown"
"Blue","Brown"
"Blue","Brown"
"Blue","Black"
"Blue","Brown"
"Blue","Blond"
"Blue","Brown"
"Blue","Brown"
"Blue","Blond"
"Blue","Brown"
"Dark brown","Blond"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Black"
"Blue","Brown"
"Blue","Black"
"Dark brown","Blond"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Green","Brown"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Brown"
"Blue","Blond"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Green","Black"
"Blue","Black"
"Dark brown","Brown"
"Blue","Black"
"Blue","Brown"
"Green","Blond"
"Blue","Brown"
"Blue","Black"
"Blue","Black"
"Dark brown","Black"
"Dark brown","Blond"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Brown"
"Green","Red"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Green","Blond"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Green","Brown"
"Green","Blond"
"Blue","Black"
"Blue","Blond"
"Blue","Brown"
"Dark brown","Blond"
"Blue","Blond"
"Blue","Blond"
"Blue","Brown"
"Green","Black"
"Dark brown","Blond"
"Dark brown","Black"
"Blue","Brown"
"Green","Black"
"Dark brown","Blond"
"Blue","Red"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Black"
"Blue","Brown"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Black"
"Green","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Green","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Green","Blond"
"Green","Brown"
"Blue","Blond"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Green","Brown"
"Green","Brown"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Blond"
"Blue","Blond"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Black"
"Dark brown","Blond"
"Blue","Brown"
"Green","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Black"
"Blue","Brown"
"Green","Blond"
"Blue","Brown"
"Blue","Brown"
"Green","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Blue","Brown"
"Green","Blond"
"Dark brown","Brown"
"Blue","Brown"
"Blue","Blond"
"Green","Blond"
"Blue","Blond"
"Dark brown","Brown"
"Dark brown","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Blond"
"Blue","Blond"
"Blue","Brown"
"Blue","Black"
"Blue","Blond"
"Blue","Blond"
"Dark brown","Black"
"Blue","Brown"
"Green","Brown"
"Blue","Blond"
"Blue","Blond"
"Dark brown","Black"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Black"
"Dark brown","Brown"
"Blue","Black"
"Blue","Brown"
"Blue","Black"
"Dark brown","Blond"
"Blue","Brown"
"Green","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Brown"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Black"
"Dark brown","Brown"
"Dark brown","Red"
"Dark brown","Black"
"Dark brown","Brown"
"Green","Brown"
"Blue","Black"
"Blue","Brown"
"Green","Blond"
"Blue","Brown"
"Dark brown","Brown"
"Green","Black"
"Dark brown","Black"
"Dark brown","Red"
"Green","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Blond"
"Dark brown","Black"
"Green","Blond"
"Dark brown","Brown"
"Blue","Black"
"Green","Blond"
"Blue","Blond"
"Dark brown","Blond"
"Dark brown","Black"
"Dark brown","Blond"
"Blue","Blond"
"Blue","Blond"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Blond"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Blue","Black"
"Blue","Blond"
"Dark brown","Blond"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Brown"
"Green","Brown"
"Green","Brown"
"Dark brown","Brown"
"Green","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Green","Blond"
"Dark brown","Black"
"Green","Blond"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Black"
"Blue","Brown"
"Dark brown","Black"
"Green","Brown"
"Dark brown","Black"
"Blue","Brown"
"Blue","Blond"
"Blue","Blond"
"Blue","Black"
"Dark brown","Brown"
"Dark brown","Black"
"Dark brown","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Brown"
"Green","Brown"
"Green","Blond"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Black"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Green","Blond"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Black"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Black"
"Dark brown","Brown"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Green","Blond"
"Dark brown","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Blue","Blond"
"Blue","Blond"
"Green","Blond"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Dark brown","Black"
"Blue","Black"
"Blue","Blond"
"Green","Brown"
"Green","Brown"
"Dark brown","Black"
"Green","Brown"
"Green","Brown"
"Blue","Brown"
"Blue","Black"
"Dark brown","Brown"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Green","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Black"
"Blue","Red"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Blue","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Black"
"Blue","Brown"
"Blue","Blond"
"Green","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Blue","Black"
"Green","Blond"
"Blue","Black"
"Green","Brown"
"Blue","Brown"
"Blue","Blond"
"Blue","Blond"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Brown"
"Blue","Brown"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Black"
"Dark brown","Black"
"Blue","Brown"
"Blue","Black"
"Blue","Blond"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Green","Black"
"Blue","Brown"
"Dark brown","Brown"
"Dark brown","Black"
"Green","Black"
"Blue","Blond"
"Blue","Blond"
"Blue","Brown"
"Blue","Brown"
"Green","Black"
"Dark brown","Black"
"Dark brown","Black"
"Dark brown","Black"
"Blue","Brown"
"Dark brown","Black"
"Blue","Blond"
"Blue","Black"
"Blue","Blond"
