"Gender","Season"
"Male","Winter"
"Male","Summer"
"Male","Winter"
"Female","Winter"
"Female","Winter"
"Male","Summer"
"Male","Winter"
"Male","Winter"
"Male","Summer"
"Female","Winter"
"Female","Winter"
"Male","Spring"
"Male","Fall"
"Male","Winter"
"Female","Spring"
"Male","Fall"
"Female","Spring"
"Female","Spring"
"Male","Winter"
"Female","Spring"
"Male","Winter"
"Female","Spring"
"Male","Spring"
"Male","Summer"
"Male","Winter"
"Male","Winter"
"Male","Fall"
"Male","Winter"
"Male","Summer"
"Male","Winter"
"Male","Fall"
"Female","Winter"
"Female","Spring"
"Female","Summer"
"Male","Winter"
"Male","Summer"
"Male","Winter"
"Female","Summer"
"Male","Summer"
"Female","Spring"
"Male","Spring"
"Male","Summer"
"Male","Summer"
"Female","Summer"
"Male","Summer"
"Female","Spring"
"Female","Spring"
"Male","Summer"
"Female","Fall"
"Male","Winter"
"Female","Summer"
"Male","Summer"
"Male","Summer"
"Male","Winter"
"Female","Fall"
"Female","Summer"
"Female","Summer"
"Male","Spring"
"Female","Spring"
"Male","Summer"
"Female","Spring"
"Male","Winter"
"Male","Fall"
"Female","Summer"
"Male","Summer"
"Male","Fall"
"Male","Summer"
"Male","Winter"
"Male","Summer"
"Female","Winter"
"Female","Summer"
"Male","Summer"
"Female","Summer"
"Male","Summer"
"Male","Summer"
"Male","Summer"
"Male","Summer"
"Male","Summer"
"Female","Fall"
"Male","Spring"
"Male","Fall"
"Male","Summer"
"Male","Fall"
"Male","Winter"
"Male","Summer"
"Female","Winter"
"Male","Spring"
"Male","Winter"
"Male","Spring"
"Male","Winter"
"Female","Spring"
"Male","Summer"
"Female","Spring"
"Male","Summer"
"Male","Summer"
"Female","Spring"
"Male","Winter"
"Male","Summer"
"Female","Spring"
"Male","Summer"
"Male","Spring"
"Male","Winter"
"Male","Spring"
"Female","Spring"
"Female","Winter"
"Male","Spring"
"Male","Summer"
"Male","Spring"
"Female","Winter"
"Female","Spring"
"Male","Summer"
"Male","Fall"
"Male","Summer"
"Female","Spring"
"Male","Spring"
"Male","Summer"
"Male","Fall"
"Male","Spring"
"Male","Summer"
"Female","Summer"
